NC_045513.1 MK645903
NC_045514.1 MK645904
NC_045516.1 MN275233
NC_045518.1 MN332241
NC_045519.1 MH581151
NC_045520.1 MH341456
NC_045527.1 MK479221
NC_045534.1 MG642741
NC_045840.1 MN457692
NC_045842.1 MN526744
NC_045843.1 MK931245
NC_045844.1 MK931247
NC_045845.1 MK251467
NC_045850.1 MG734862
NC_045851.1 MN577470
NC_045854.1 MN915016
NC_045855.1 MN901522
NC_045856.1 MN913340
NC_045859.1 MK281365
NC_045860.1 MK258147
NC_045861.1 MK258148
NC_045862.1 MN641754
NC_045863.1 MK262736
NC_045865.1 MN839533
NC_045867.1 MK241803
NC_045868.1 MN781974
NC_045869.1 MN937553
NC_045871.1 MK135434
NC_045873.1 MK404537
NC_045878.1 MG952898
NC_045879.1 MG952903
NC_045880.1 MH979331
NC_045884.1 MH476330
NC_045885.1 MN866891
NC_045887.1 MK470118
NC_045890.1 MN563132
NC_045891.1 MN563133
NC_045893.1 MH511734
NC_045894.1 MK258138
NC_045895.1 MK258145
NC_045896.1 MN641753
NC_045898.1 MK281360
NC_045907.1 MN885894
NC_045908.1 MG952897
NC_045909.1 MG952899
NC_045910.1 MG952902
NC_045911.1 MK931246
NC_045912.1 MK820611
NC_045913.1 MK820615
NC_045914.1 MH745228
NC_045915.1 MG763885
NC_045919.1 MK123970
NC_045920.1 MK370318
NC_045925.1 MH262300
NC_045926.1 MH262301
NC_045941.1 MK962316
NC_045942.1 MK962317
NC_045945.1 MN915015
NC_045946.1 MN326012
NC_045947.1 MN136196
NC_045948.1 MN176144
NC_046005.1 MG739403
NC_046015.1 MH734123
NC_046017.1 MN812494
NC_046018.1 MN812495
NC_046019.1 MN812496
NC_046022.1 MN783368
NC_046030.1 MK294559
NC_046038.1 MK113828
NC_046040.1 MN885893
NC_046041.1 MN053318
NC_046042.1 MN053319
NC_046043.1 MN053320
NC_046054.1 MN326013
NC_046056.1 MN496310
NC_046057.1 MN496311
NC_046059.1 MN519210
NC_046061.1 MN720267
NC_046062.1 MN560141
NC_046063.1 MN560142
NC_046064.1 MN560143
NC_046065.1 MN560167
NC_046385.1 MN480848
NC_046388.1 MN562095
NC_046389.1 MN453832
NC_046390.1 MN125571
NC_046391.1 MN125576
NC_046392.1 MN125582
NC_046393.1 MN125584
NC_046394.1 MN125585
NC_046396.1 MN562096
NC_046397.1 MH703581
NC_046409.1 MN918534
NC_046413.1 MK570617
NC_046414.1 KU862307
NC_046415.1 KX618681
NC_046427.1 MH188288
NC_046428.1 MH188289
NC_046429.1 MH188290
NC_046430.1 MH188291
NC_046431.1 MH188293
NC_046432.1 MH188295
NC_046433.1 MH188299
NC_046434.1 MH188300
NC_046435.1 MH188303
NC_046436.1 MH188304
NC_046447.1 MK107984
NC_046448.1 MN125565
NC_046449.1 MN125566
NC_046450.1 MN125567
NC_046451.1 MN125568
NC_046452.1 MN125572
NC_046453.1 MN125578
NC_046454.1 MN125579
NC_046455.1 MN125580
NC_046456.1 MN125581
NC_046457.1 MN125586
NC_046458.1 MN125589
NC_046459.1 MN125591
NC_046460.1 MN125593
NC_046461.1 MN125596
NC_046463.1 MN517839
NC_046464.1 MN509268
NC_046472.1 MK258143
NC_046473.1 MK258144
NC_046482.1 MK755854
NC_046483.1 MN837678
NC_046486.1 MK331713
NC_046487.1 MK329222
NC_046488.1 MK329223
NC_046489.1 MN974486
NC_046490.1 MN989413
NC_046492.1 MK317975
NC_046493.1 MK426698
NC_046495.1 MN967052
NC_046498.1 MN824434
NC_046503.1 MK290824
NC_046506.1 MN880789
NC_046507.1 MK370725
NC_046512.1 MK358413
NC_046513.1 MK358414
NC_046514.1 MK358415
NC_046515.1 MK358416
NC_046516.1 MK358417
NC_046517.1 MK392466
NC_046520.1 MN509584
NC_046568.1 MN989414
NC_046571.1 MN932370
NC_046572.1 MK414769
NC_046574.1 MN833211
NC_046575.1 MK419082
NC_046576.1 MK388860
NC_046579.1 MK424049
NC_046582.1 MK443505
NC_046583.1 MK449426
NC_046585.1 MK465682
NC_046587.1 MN917206
NC_046599.1 MK543511
NC_046601.1 MK548576
NC_046602.1 MK621773
NC_046685.1 MK621775
NC_046687.1 MK572740
NC_046692.1 MK550717
NC_046693.1 MK654722
NC_046695.1 MK674897
NC_046696.1 MG958547
NC_046697.1 MG958548
NC_046698.1 MG958557
NC_046699.1 MK473913
NC_046700.1 MK550621
NC_046702.1 MK611803
NC_046729.1 MK570613
NC_046730.1 MK570614
NC_046731.1 MK570615
NC_046732.1 MK570616
NC_046737.1 MK629764
NC_046738.1 MK573514
NC_046739.1 MN691039
NC_046742.1 MK790138
NC_046744.1 MN968551
NC_046745.1 MN968552
NC_046746.1 MN968553
NC_046747.1 MN968554
NC_046751.1 MK783267
NC_046752.1 MN831471
NC_046755.1 MN065496
NC_046758.1 MN164624
NC_046760.1 MN087227
NC_046761.1 MN088847
NC_046766.1 MN132862
NC_046770.1 MN504639
NC_046771.1 MN504640
NC_046772.1 MN315570
NC_046773.1 MN480421
NC_046774.1 MN337347
NC_046776.1 MN381716
NC_046777.1 MK914535
NC_046781.1 MN115836
NC_046782.1 MN836381
NC_046783.1 MK920078
NC_046784.1 MN027504
NC_046785.1 MH210646
NC_046786.1 MK738124
NC_046787.1 MK737938
NC_046788.1 MK737939
NC_046789.1 MK737940
NC_046791.1 MN913536
NC_046793.1 MN729611
NC_046796.1 MN823729
NC_046798.1 MN200363
NC_046799.1 MN200364
NC_046800.1 MN200365
NC_046801.1 MN200366
NC_046802.1 MN200367
NC_046803.1 MN200368
NC_046804.1 MN200369
NC_046805.1 MN200370
NC_046806.1 MN200371
NC_046807.1 MN200372
NC_046808.1 MN200373
NC_046809.1 MN200374
NC_046810.1 MN200376
NC_046811.1 MN200377
NC_046812.1 MN200378
NC_046813.1 MN200379
NC_046814.1 MN200380
NC_046815.1 MN200381
NC_046816.1 MN200386
NC_046817.1 MN200387
NC_046818.1 MN200388
NC_046819.1 MN200390
NC_046820.1 MN200391
NC_046821.1 MN200392
NC_046822.1 MN867687
NC_046824.1 MN372205
NC_046827.1 MN518843
NC_046828.1 MN518845
NC_046829.1 MN518846
NC_046830.1 MN518847
NC_046834.1 MN516695
NC_046835.1 MK791204
NC_046836.1 MT083894
NC_046837.1 MT083895
NC_046838.1 MT083896
NC_046841.1 MN480804
NC_046842.1 MN444783
NC_046844.1 MN539263
NC_046845.1 MN539264
NC_046846.1 MN539265
NC_046847.1 MN539266
NC_046848.1 MN539267
NC_046852.1 MH703578
NC_046853.1 MH703579
NC_046854.1 MH703580
NC_046855.1 MN542382
NC_046857.1 MN542387
NC_046858.1 MN542388
NC_046859.1 MN542389
NC_046860.1 MN542391
NC_046861.1 MN542397
NC_046862.1 MN542400
NC_046863.1 MN542401
NC_046864.1 MN542385
NC_046865.1 MN542386
NC_046866.1 MN542392
NC_046867.1 MN542393
NC_046868.1 MN542394
NC_046869.1 MN542396
NC_046870.1 MN542399
NC_046871.1 MN542405
NC_046872.1 MN542406
NC_046873.1 MN542407
NC_046874.1 MN542408
NC_046875.1 MN542409
NC_046876.1 MN542410
NC_046879.1 MN901636
NC_046882.1 MN542390
NC_046883.1 MN542398
NC_046884.1 MN542402
NC_046885.1 MN542404
NC_046891.1 MN056354
NC_046892.1 MN746307
NC_046893.1 MN433116
NC_046895.1 MK732314
NC_046896.1 MK732315
NC_046897.1 MK732318
NC_046936.1 MT079212
NC_046937.1 MT079214
NC_046938.1 MT079215
NC_046939.1 MN888961
NC_046941.1 MT040976
NC_046945.1 MN883539
NC_046947.1 MN428416
NC_047059.1 MN709788
NC_047060.1 MN709823
NC_047061.1 MN709884
NC_047175.1 MN711723
NC_047176.1 MN216390
NC_047177.1 LC542973
NC_047178.1 MN176145
NC_047180.1 MH189566
NC_047181.1 MH189567
NC_047182.1 MH189568
NC_047183.1 MH189569
NC_047190.1 MN418388
NC_047191.1 MN418389
NC_047192.1 MK227819
NC_047193.1 MK639365
NC_047194.1 MK639366
NC_047197.1 MN581727
NC_047200.1 MN911165
NC_047201.1 MN597432
NC_047202.1 MN597433
NC_047203.1 MN597434
NC_047204.1 MN597435
